policy_number,policy_bind_date,policy_state,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_age,insured_sex,insured_occupation,insured_hobbies,incident_date,incident_state,incident_severity,incident_city,incident_location,incident_hour_of_the_day,peril_type,authorities_contacted,police_report_available,cov_A,cov_E,personal_liability_ind,property_claim_amount,injury_claim_amount,total_claim_amount,liberty_prior_claim,other_prior_claim,fraud_reported
521585,10/17/2014,OH,1000,2639.780957,0,46613,48,MALE,craft-repair,kayaking,1/25/2015,SC,major damage,Columbus,9935 4th Drive,5,hail,other,NO,243600,500000,NO,218765,6510,225275,NO,NO,YES
342868,6/27/2006,IN,500,4087.087568,5000000,46817,42,MALE,machine-op-inspct,base-jumping,1/21/2015,VA,minor damage,Riverwood,6608 MLK Hwy,8,hurricane,other,NO,421600,500000,NO,219170,780,219950,YES,NO,YES
687698,9/6/2000,OH,500,4669.590888,5000000,43063,29,FEMALE,sales,golf,2/22/2015,NY,minor damage,Columbus,7121 Francis Lane,7,hurricane,fire,NO,481200,300000,NO,266272,7700,273972,YES,NO,NO
227811,5/25/1990,IL,500,2508.126788,6000000,60811,41,FEMALE,armed-forces,movies,1/10/2015,OH,major damage,Arlington,6956 Maple Drive,5,hurricane,other,NO,236400,500000,NO,165766,6340,172106,NO,YES,YES
367455,6/6/2014,IL,1000,1742.615381,6000000,61070,44,MALE,sales,dancing,2/17/2015,NY,minor damage,Arlington,3041 3rd Ave,20,hurricane,ambulance,NO,150000,1000000,NO,78294,1300,79594,YES,NO,NO
104594,10/12/2006,OH,1000,8327.294643,0,47845,39,FEMALE,tech-support,board-games,1/2/2015,SC,major damage,Arlington,8973 Washington St,19,fire,police,YES,698400,500000,NO,554574,6410,560984,NO,NO,YES
413978,6/4/2000,IN,500,3659.434452,0,44171,34,MALE,prof-specialty,bungie-jumping,1/13/2015,NY,minor damage,Springfield,5846 Weaver Drive,0,theft,police,YES,329600,500000,NO,137140,21450,158590,NO,NO,NO
429027,2/3/1990,IL,500,1087.921708,0,60319,37,MALE,tech-support,paintball,2/27/2015,VA,total loss,Columbus,3525 3rd Hwy,23,hail,other,NO,107400,300000,YES,107400,9380,116780,NO,NO,NO
485665,2/5/1997,IL,500,5504.459978,0,60173,33,FEMALE,other-service,base-jumping,1/30/2015,WV,total loss,Arlington,4872 Rock Ridge,21,theft,other,NO,556800,300000,NO,556800,2770,559570,NO,NO,NO
636550,7/25/2011,IL,1000,3326.374507,0,60098,42,MALE,priv-house-serv,dancing,1/5/2015,NC,total loss,Hillsdale,3066 Francis Ave,14,hail,other,NO,310000,300000,NO,310000,4700,314700,NO,NO,NO
543610,5/26/2002,OH,500,974.4114612,4000000,46228,42,FEMALE,exec-managerial,basketball,1/6/2015,NY,total loss,Northbend,1558 1st Ridge,22,theft,ambulance,NO,97800,300000,NO,97800,7910,105710,NO,YES,NO
214618,5/29/1999,OH,1000,2055.184399,0,61556,61,FEMALE,exec-managerial,dancing,2/15/2015,SC,major damage,Springfield,5971 5th Hwy,21,theft,none,NO,173800,300000,NO,120332,17680,138012,NO,NO,NO
842643,11/20/1997,OH,500,5742.473213,3000000,43222,23,MALE,protective-serv,movies,1/22/2015,SC,total loss,Northbend,6655 5th Drive,9,other,other,NO,590400,1000000,NO,590400,4710,595110,NO,NO,NO
626808,10/26/2012,OH,500,6331.087426,0,46465,34,FEMALE,armed-forces,polo,1/8/2015,SC,minor damage,Springfield,6582 Elm Lane,5,fire,none,NO,580200,300000,YES,277545,1120,278665,YES,NO,NO
