,Unnamed: 0,policy_number,policy_bind_date,policy_state,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_age,insured_sex,insured_occupation,insured_hobbies,incident_date,incident_state,incident_severity,incident_city,incident_location,incident_hour_of_the_day,peril_type,authorities_contacted,police_report_available,cov_A,cov_E,personal_liability_ind,property_claim_amount,injury_claim_amount,total_claim_amount,liberty_prior_claim,other_prior_claim,fraud_reported
0,0,521585,10/17/2014,OH,1000,2639.780957,0,46613,48,MALE,transport-moving,camping,1/25/2015,SC,major damage,Columbus,9935 4th Drive,5,hail,other,NO,243600,500000,NO,218765,6510,225275,NO,NO,YES
1,1,342868,6/27/2006,IN,500,4087.087568,5000000,46817,42,MALE,tech-support,kayaking,1/21/2015,VA,minor damage,Riverwood,6608 MLK Hwy,8,hurricane,other,NO,421600,500000,NO,219170,780,219950,YES,NO,YES
2,2,687698,9/6/2000,OH,500,4669.5908880000015,5000000,43063,29,FEMALE,other-service,reading,2/22/2015,NY,minor damage,Columbus,7121 Francis Lane,7,hurricane,fire,NO,481200,300000,NO,266272,7700,273972,YES,NO,NO
3,3,227811,5/25/1990,IL,500,2508.126788,6000000,60811,41,FEMALE,exec-managerial,reading,1/10/2015,OH,major damage,Arlington,6956 Maple Drive,5,hurricane,other,NO,236400,500000,NO,165766,6340,172106,NO,YES,YES
4,4,367455,6/6/2014,IL,1000,1742.6153809999996,6000000,61070,44,MALE,transport-moving,dancing,2/17/2015,NY,minor damage,Arlington,3041 3rd Ave,20,hurricane,ambulance,NO,150000,1000000,NO,78294,1300,79594,YES,NO,NO
5,5,104594,10/12/2006,OH,1000,8327.294643000001,0,47845,39,FEMALE,armed-forces,board-games,1/2/2015,SC,major damage,Arlington,8973 Washington St,19,fire,police,YES,698400,500000,NO,554574,6410,560984,NO,NO,YES
6,6,413978,6/4/2000,IN,500,3659.434452,0,44171,34,MALE,other-service,reading,1/13/2015,NY,minor damage,Springfield,5846 Weaver Drive,0,theft,police,YES,329600,500000,NO,137140,21450,158590,NO,NO,NO
7,7,429027,2/3/1990,IL,500,1087.921708,0,60319,37,MALE,adm-clerical,chess,2/27/2015,VA,total loss,Columbus,3525 3rd Hwy,23,hail,other,NO,107400,300000,YES,107400,9380,116780,NO,NO,NO
8,8,485665,2/5/1997,IL,500,5504.459978,0,60173,33,FEMALE,farming-fishing,board-games,1/30/2015,WV,total loss,Arlington,4872 Rock Ridge,21,theft,other,NO,556800,300000,NO,556800,2770,559570,NO,NO,NO
9,9,636550,7/25/2011,IL,1000,3326.374507,0,60098,42,MALE,other-service,hiking,1/5/2015,NC,total loss,Hillsdale,3066 Francis Ave,14,hail,other,NO,310000,300000,NO,310000,4700,314700,NO,NO,NO
10,10,543610,5/26/2002,OH,500,974.4114612,4000000,46228,42,FEMALE,transport-moving,camping,1/6/2015,NY,total loss,Northbend,1558 1st Ridge,22,theft,ambulance,NO,97800,300000,NO,97800,7910,105710,NO,YES,NO
11,11,214618,5/29/1999,OH,1000,2055.184399,0,61556,61,FEMALE,farming-fishing,camping,2/15/2015,SC,major damage,Springfield,5971 5th Hwy,21,theft,none,NO,173800,300000,NO,120332,17680,138012,NO,NO,NO
12,12,842643,11/20/1997,OH,500,5742.473213,3000000,43222,23,MALE,other-service,exercise,1/22/2015,SC,total loss,Northbend,6655 5th Drive,9,other,other,NO,590400,1000000,NO,590400,4710,595110,NO,NO,NO
13,13,626808,10/26/2012,OH,500,6331.087426,0,46465,34,FEMALE,sales,hiking,1/8/2015,SC,minor damage,Springfield,6582 Elm Lane,5,fire,none,NO,580200,300000,YES,277545,1120,278665,YES,NO,NO
14,14,644081,12/28/1998,OH,500,3520.527571,0,47668,38,FEMALE,transport-moving,chess,1/15/2015,SC,total loss,Springfield,6851 3rd Drive,12,hail,other,NO,348400,500000,NO,348400,4200,352600,NO,YES,YES
15,15,892874,10/19/1992,IN,500,1527.302966,0,45873,58,FEMALE,craft-repair,movies,1/29/2015,WV,major damage,Hillsdale,9573 Weaver Ave,12,fire,ambulance,NO,143200,300000,NO,124285,10520,134805,NO,YES,YES
16,16,558938,6/8/2005,OH,500,2548.879665,5000000,61988,26,MALE,craft-repair,dancing,2/22/2015,NY,major damage,Riverwood,5074 3rd St,0,fire,other,NO,233400,1000000,NO,150199,5790,155989,NO,NO,NO
17,17,275265,11/15/2004,IN,1000,2446.505793,6000000,47061,31,MALE,tech-support,camping,1/6/2015,WV,total loss,Northbend,4546 Tree St,9,hail,other,NO,216600,1000000,NO,216600,14160,230760,NO,NO,NO
18,18,921202,12/28/2014,OH,500,4779.048157,0,47213,37,FEMALE,transport-moving,movies,1/19/2015,NY,total loss,Northbrook,3842 Solo Ridge,19,hail,other,NO,584600,1000000,YES,584600,6630,591230,NO,NO,NO
19,19,143972,8/2/1992,IN,1000,6410.696897999998,0,47767,39,FEMALE,adm-clerical,video-games,2/22/2015,VA,major damage,Columbus,8101 3rd Ridge,8,hurricane,fire,NO,636200,1000000,NO,458677,6040,464717,NO,NO,NO
20,20,183430,6/25/2002,IN,1000,3406.5042200000007,4000000,61884,62,MALE,farming-fishing,basketball,1/1/2015,NY,minor damage,Columbus,5380 Pine St,20,other,police,YES,402600,500000,NO,170470,0,170470,YES,NO,NO
21,21,431876,11/27/2005,IL,1000,1344.802624,0,44247,41,FEMALE,adm-clerical,kayaking,2/10/2015,SC,total loss,Arlington,8957 Weaver Drive,15,fire,ambulance,NO,120000,1000000,NO,120000,0,120000,YES,YES,NO
22,22,285496,5/27/1994,IL,500,4349.717144,0,44392,55,MALE,craft-repair,camping,1/11/2015,SC,major damage,Hillsdale,2526 Embaracadero Ave,20,fire,ambulance,NO,412000,300000,NO,305647,17880,323527,NO,NO,YES
23,23,115399,2/8/1991,IN,500,5279.253355,0,45314,55,MALE,armed-forces,video-games,1/19/2015,WV,total loss,Northbend,5667 4th Drive,15,hurricane,other,NO,448600,300000,YES,448600,8180,456780,YES,YES,YES
24,24,736882,2/2/1996,IN,1000,4993.94645,0,43473,40,MALE,craft-repair,movies,2/24/2015,VA,minor damage,Riverwood,2502 Apache Hwy,6,hail,fire,NO,418000,300000,YES,210280,7080,217360,NO,NO,NO
25,25,699044,12/5/2013,OH,1000,2182.055612,0,61398,35,MALE,armed-forces,dancing,1/9/2015,OH,major damage,Arlington,3418 Texas Lane,16,theft,other,NO,269400,300000,NO,207495,16500,223995,NO,NO,YES
26,26,863236,9/20/1990,IN,500,2349.820335000001,0,43698,43,MALE,exec-managerial,reading,1/28/2015,PA,minor damage,Arlington,2533 Elm St,4,fire,none,NO,208800,300000,NO,106896,1640,108536,NO,YES,NO
27,27,608513,7/18/2002,IN,1000,7813.787803,3000000,60773,34,MALE,tech-support,video-games,1/7/2015,VA,minor damage,Northbrook,3790 Andromedia Hwy,5,hurricane,other,NO,965400,300000,NO,410323,1040,411363,NO,NO,YES
28,28,914088,2/8/1990,OH,1000,5230.595567,0,60983,40,FEMALE,armed-forces,basketball,1/8/2015,SC,minor damage,Northbend,3220 Rock Drive,21,hurricane,other,NO,500200,300000,NO,276338,7760,284098,NO,NO,NO
29,29,596785,3/4/2014,IL,1000,3720.297917,0,43221,45,FEMALE,other-service,movies,2/15/2015,SC,minor damage,Northbrook,2100 Francis Drive,5,fire,none,NO,363800,1000000,YES,187914,14100,202014,NO,NO,NO
30,30,908616,2/18/2000,IL,500,1855.398402,0,47332,25,MALE,sales,board-games,1/18/2015,SC,major damage,Columbus,4687 5th Drive,22,other,none,NO,184400,500000,YES,122752,12600,135352,NO,NO,NO
31,31,666333,6/19/2008,IL,500,3368.81073,8000000,61039,37,MALE,farming-fishing,kayaking,2/28/2015,WV,major damage,Riverwood,9038 2nd Lane,10,hail,ambulance,NO,304400,300000,NO,214722,7460,222182,YES,YES,YES
32,32,336614,8/1/2003,IL,500,3068.89737,0,61478,35,FEMALE,farming-fishing,board-games,2/24/2015,NY,total loss,Arlington,6092 5th Ave,16,fire,police,YES,294400,1000000,NO,294400,3310,297710,YES,NO,NO
33,33,584859,4/4/1992,IL,500,1920.984744,0,47224,30,MALE,farming-fishing,camping,1/9/2015,NY,major damage,Hillsdale,8353 Britain Ridge,1,fire,other,NO,237000,300000,NO,165758,14020,179778,NO,NO,NO
34,34,990493,1/13/1991,IL,500,4472.399838,0,60338,37,MALE,craft-repair,reading,2/12/2015,WV,total loss,Hillsdale,3540 Maple St,17,hail,other,NO,405600,1000000,NO,405600,10800,416400,NO,NO,NO
35,35,129872,8/8/2010,OH,500,2924.847393,6000000,47922,33,MALE,adm-clerical,kayaking,1/24/2015,WV,major damage,Springfield,3104 Sky Drive,15,theft,other,NO,262000,300000,NO,157307,10620,167927,NO,NO,YES
36,36,200152,3/9/2003,IL,1000,3890.895513,0,43014,28,FEMALE,sales,video-games,1/9/2015,NY,total loss,Northbrook,4981 Weaver St,3,hail,other,NO,341000,300000,NO,341000,6020,347020,NO,NO,YES
37,37,933293,2/3/1993,IL,1000,1487.542093,0,62075,49,FEMALE,exec-managerial,video-games,1/18/2015,WV,minor damage,Arlington,6676 Tree Lane,16,fire,ambulance,NO,135800,1000000,YES,70193,1230,71423,NO,NO,NO
38,38,485664,11/25/2002,IN,500,4304.70295,0,61590,54,FEMALE,tech-support,video-games,1/21/2015,NY,major damage,Hillsdale,3930 Embaracadero St,4,hail,other,NO,369600,1000000,NO,226120,12460,238580,NO,YES,NO
39,39,982871,7/27/1997,IN,500,4122.720757,0,47461,37,MALE,sales,hiking,1/8/2015,NC,major damage,Columbus,3422 Flute St,4,theft,none,NO,414400,500000,NO,258093,10940,269033,NO,NO,YES
40,40,206213,5/8/1995,IL,1000,4154.632184,0,45644,26,MALE,adm-clerical,movies,1/3/2015,WV,minor damage,Columbus,4862 Lincoln Hwy,19,theft,fire,NO,377200,300000,NO,217208,8000,225208,NO,NO,NO
41,41,616337,8/30/2012,IN,500,3384.243439,0,47057,34,MALE,transport-moving,kayaking,1/1/2015,WV,major damage,Northbrook,5719 2nd Lane,1,hurricane,fire,NO,393600,500000,NO,278206,16180,294386,NO,NO,YES
42,42,448961,4/30/2006,IL,1000,5204.444592,0,44164,23,FEMALE,farming-fishing,kayaking,1/16/2015,SC,minor damage,Springfield,3221 Solo Ridge,17,theft,none,NO,453000,1000000,NO,268658,5740,274398,NO,NO,NO
43,43,790442,4/13/2003,OH,1000,2657.803434,0,43378,30,FEMALE,adm-clerical,hiking,2/10/2015,NC,total loss,Arlington,6660 MLK Drive,23,hurricane,other,NO,277400,500000,NO,277400,5680,283080,NO,YES,NO
44,44,108844,12/5/2007,IL,1000,2823.125064,0,46810,44,MALE,armed-forces,reading,2/14/2015,SC,minor damage,Springfield,1699 Oak Drive,14,hail,other,NO,255600,300000,NO,144456,11280,155736,NO,YES,NO
45,45,430029,8/21/2006,IL,1000,4160.655704,0,45940,40,FEMALE,adm-clerical,camping,2/21/2015,NY,total loss,Arlington,4234 Cherokee Lane,17,hail,ambulance,NO,494400,500000,NO,494400,6890,501290,NO,YES,NO
46,46,529112,1/8/1990,IN,500,4221.778555,0,47257,33,FEMALE,armed-forces,chess,2/18/2015,NC,total loss,Northbend,7476 4th St,11,theft,ambulance,NO,380600,300000,NO,380600,0,380600,NO,NO,NO
